iter	Passed	Remaining
616	22532	342662
617	22571	342666
618	22605	342590
619	22638	342500
620	22674	342457
621	22708	342384
622	22744	342328
623	22784	342353
624	22817	342265
625	22852	342204
626	22886	342126
627	22921	342063
628	22960	342072
629	22996	342024
630	23030	341955
631	23071	341978
632	23108	341952
633	23149	341985
634	23188	341977
635	23222	341913
636	23261	341908
637	23296	341850
638	23328	341755
639	23364	341704
640	23397	341621
641	23438	341642
642	23471	341562
643	23510	341556
644	23546	341512
645	23584	341502
646	23616	341395
647	23654	341389
648	23690	341335
649	23727	341307
650	23767	341331
651	23805	341306
652	23842	341286
653	23876	341212
654	23915	341208
655	23950	341146
656	23984	341075
657	24023	341070
658	24057	341002
659	24094	340980
660	24132	340964
661	24172	340965
662	24206	340902
663	24249	340948
664	24288	340953
665	24327	340947
666	24360	340862
667	24398	340850
668	24434	340801
669	24472	340789
670	24513	340812
671	24548	340752
672	24585	340723
673	24616	340613
674	24655	340606
675	24696	340631
676	24733	340603
677	24771	340592
678	24805	340521
679	24842	340494
680	24875	340402
681	24909	340329
682	24947	340309
683	24987	340330
684	25027	340336
685	25060	340257
686	25096	340206
687	25134	340198
688	25170	340154
689	25209	340142
690	25242	340058
691	25278	340019
692	25315	339981
693	25348	339909
694	25382	339839
695	25423	339851
696	25454	339748
697	25490	339698
698	25523	339621
699	25567	339688
700	25617	339818
701	25651	339751
702	25686	339696
703	25720	339632
704	25756	339583
705	25793	339550
706	25828	339495
707	25864	339448
708	25899	339401
709	25936	339367
710	25972	339322
711	26005	339239
712	26038	339162
713	26078	339164
714	26117	339163
715	26153	339124
716	26190	339093
717	26228	339076
718	26262	338996
719	26296	338930
720	26333	338908
721	26369	338856
722	26405	338818
723	26442	338781
724	26472	338671
725	26505	338578
726	26538	338503
727	26576	338479
728	26611	338431
729	26647	338392
730	26684	338351
731	26721	338329
732	26758	338300
733	26794	338258
734	26830	338213
735	26872	338242
736	26907	338183
737	26946	338182
738	26987	338198
739	27019	338113
740	27057	338089
741	27094	338061
742	27130	338015
743	27169	338008
744	27206	337977
745	27241	337929
746	27280	337920
747	27315	337867
748	27351	337828
749	27386	337768
750	27424	337754
751	27460	337710
752	27496	337661
753	27533	337634
754	27572	337625
755	27614	337654
756	27647	337577
757	27681	337505
758	27718	337477
759	27758	337486
760	27794	337445
761	27831	337407
762	27867	337373
763	27909	337394
764	27946	337363
765	27982	337319
766	28017	337270
767	28052	337211
768	28087	337154
769	28121	337097
770	28166	337156
771	28204	337142
772	28240	337098
773	28272	337004
774	28309	336971
775	28342	336897
776	28381	336887
777	28416	336835
778	28460	336883
779	28497	336854
780	28530	336777
781	28566	336735
782	28602	336685
783	28636	336629
784	28671	336565
785	28706	336520
786	28741	336461
787	28776	336410
788	28808	336317
789	28845	336288
790	28881	336250
791	28920	336241
792	28959	336228
793	28995	336191
794	29034	336176
795	29067	336099
796	29104	336066
797	29138	336001
798	29176	335990
799	29223	336066
800	29263	336075
801	29304	336086
802	29346	336116
803	29386	336121
804	29426	336122
805	29462	336080
806	29501	336065
807	29539	336044
808	29577	336024
809	29615	336006
810	29649	335936
811	29691	335971
812	29730	335954
813	29765	335902
814	29803	335885
815	29843	335890
816	29879	335843
817	29909	335737
818	29947	335713
819	29984	335676
820	30024	335680
821	30060	335638
822	30095	335580
823	30129	335524
824	30167	335494
825	30206	335488
826	30249	335526
827	30288	335513
828	30324	335474
829	30363	335458
830	30400	335425
831	30434	335369
832	30472	335348
833	30509	335306
834	30544	335254
835	30579	335209
836	30616	335176
837	30651	335123
838	30689	335097
839	30721	335013
840	30761	335016
841	30801	335007
842	30841	335012
843	30880	335003
844	30921	335009
845	30962	335022
846	31001	335013
847	31039	334988
848	31076	334961
849	31114	334933
850	31149	334883
851	31190	334898
852	31220	334791
853	31260	334783
854	31297	334758
855	31340	334783
856	31384	334832
857	31425	334842
858	31464	334831
859	31504	334827
860	31541	334799
861	31582	334799
862	31619	334766
863	31653	334706
864	31695	334727
865	31729	334657
866	31765	334621
867	31802	334588
868	31849	334654
869	31889	334659
870	31926	334626
871	31966	334622
872	32003	334589
873	32041	334563
874	32078	334537
875	32117	334516
876	32157	334521
877	32191	334457
878	32227	334408
879	32263	334366
880	32314	334481
881	32366	334605
882	32403	334564
883	32445	334586
884	32483	334557
885	32520	334523
886	32562	334547
887	32598	334500
888	32634	334457
889	32669	334408
890	32709	334401
891	32744	334349
892	32781	334307
893	32821	334308
894	32864	334341
895	32904	334332
896	32936	334248
897	32980	334282
898	33026	334339
899	33070	334382
900	33109	334367
901	33144	334309
902	33181	334272
903	33215	334211
904	33255	334209
905	33299	334245
906	33338	334235
907	33379	334240
908	33420	334245
909	33455	334190
910	33485	334087
911	33521	334037
912	33559	334018
913	33593	333952
914	33634	333957
915	33682	334027
916	33728	334083
917	33763	334025
918	33799	333985
919	33836	333947
920	33876	333942
921	33907	333854
922	33939	333764
923	33972	333694
924	34010	333666
925	34045	333621
926	34081	333572
927	34120	333559
928	34157	333526
929	34192	333465
930	34227	333414
931	34264	333383
932	34306	333399
933	34342	333351
934	34379	333319
935	34418	333301
936	34458	333299
937	34496	333266
938	34536	333260
939	34572	333224
940	34609	333181
941	34643	333120
942	34680	333086
943	34718	333064
944	34754	333022
945	34791	332987
946	34827	332939
947	34866	332920
948	34902	332878
949	34941	332860
950	34979	332843
951	35019	332831
952	35054	332781
953	35088	332712
954	35127	332697
955	35161	332637
956	35200	332623
957	35243	332639
958	35278	332592
959	35317	332573
960	35356	332556
961	35393	332521
962	35426	332446
963	35466	332446
964	35502	332398
965	35539	332360
966	35578	332349
967	35621	332370
968	35658	332337
969	35699	332332
970	35732	332265
971	35767	332206
972	35805	332186
973	35843	332158
974	35879	332114
975	35918	332100
976	35952	332039
977	35993	332041
978	36026	331961
979	36063	331931
980	36101	331902
981	36134	331835
982	36170	331792
983	36204	331723
984	36240	331679
985	36275	331625
986	36313	331602
987	36351	331575
988	36384	331504
989	36422	331485
990	36459	331446
991	36493	331387
992	36529	331338
993	36564	331290
994	36601	331255
995	36640	331238
996	36675	331179
997	36712	331151
998	36749	331110
999	36784	331057
1000	36820	331019
1001	36858	330987
1002	36895	330960
1003	36935	330945
1004	36971	330904
1005	37007	330861
1006	37043	330817
1007	37083	330805
1008	37120	330775
1009	37158	330744
1010	37194	330700
1011	37233	330689
1012	37275	330693
1013	37313	330669
1014	37351	330644
1015	37390	330621
1016	37425	330572
1017	37463	330545
1018	37500	330508
1019	37538	330482
1020	37577	330467
1021	37612	330420
1022	37649	330377
1023	37686	330346
1024	37724	330321
1025	37764	330312
1026	37804	330298
1027	37842	330279
1028	37879	330237
1029	37915	330197
1030	37949	330131
1031	37981	330052
1032	38020	330042
1033	38054	329977
1034	38091	329940
1035	38128	329908
1036	38161	329835
1037	38196	329784
1038	38236	329772
1039	38274	329746
1040	38311	329711
1041	38348	329676
1042	38385	329644
1043	38421	329598
1044	38458	329565
1045	38494	329519
1046	38524	329429
1047	38564	329420
1048	38604	329409
1049	38641	329369
1050	38672	329290
1051	38708	329239
1052	38763	329365
1053	38805	329370
1054	38841	329326
1055	38877	329284
1056	38908	329193
1057	38946	329170
1058	38985	329145
1059	39022	329118
1060	39060	329085
1061	39096	329045
1062	39136	329034
1063	39169	328965
1064	39205	328925
1065	39245	328911
1066	39282	328873
1067	39315	328805
1068	39350	328753
1069	39389	328733
1070	39428	328719
1071	39468	328709
1072	39504	328660
1073	39536	328584
1074	39573	328551
1075	39610	328514
1076	39644	328459
1077	39680	328414
1078	39720	328402
1079	39759	328381
1080	39794	328328
1081	39822	328226
1082	39860	328192
1083	39896	328149
1084	39924	328045
1085	39960	327997
1086	39995	327945
1087	40032	327913
1088	40071	327894
1089	40105	327838
1090	40144	327812
1091	40183	327794
1092	40222	327778
1093	40260	327752
